customer_id,country
13085,united kingdom
13078,united kingdom
15362,united kingdom
18102,united kingdom
12682,france
18087,united kingdom
13635,united kingdom
14110,united kingdom
12636,usa
17519,united kingdom
13758,united kingdom
12362,belgium
15413,united kingdom
16321,australia
16167,united kingdom
17865,united kingdom
17592,united kingdom
13767,united kingdom
17238,united kingdom
15712,united kingdom
15311,united kingdom
16329,united kingdom
17700,united kingdom
14911,eire
15998,united kingdom
12931,united kingdom
12533,germany
17984,united kingdom
14871,united kingdom
13394,united kingdom
16011,united kingdom
16393,united kingdom
14040,united kingdom
12913,united kingdom
15061,united kingdom
14341,united kingdom
17804,united kingdom
14156,eire
13599,united kingdom
17063,united kingdom
15719,united kingdom
12490,france
15793,united kingdom
17056,united kingdom
13526,united kingdom
14654,united kingdom
17998,united kingdom
17742,united kingdom
15326,united kingdom
14478,united kingdom
15967,united kingdom
17611,united kingdom
15051,united kingdom
13097,united kingdom
13590,united kingdom
15984,united kingdom
16887,united kingdom
12921,united kingdom
14543,united kingdom
15945,united kingdom
18037,united kingdom
15662,united kingdom
15380,united kingdom
13110,united kingdom
12836,united kingdom
15005,united kingdom
16620,united kingdom
12758,portugal
17961,united kingdom
15601,united kingdom
13585,united kingdom
13442,united kingdom
13381,united kingdom
16763,united kingdom
17243,united kingdom
14865,united kingdom
17345,united kingdom
13819,united kingdom
15808,united kingdom
17191,united kingdom
13748,united kingdom
15265,united kingdom
15750,united kingdom
17428,united kingdom
15485,united kingdom
17246,united kingdom
14061,united kingdom
14108,united kingdom
13648,united kingdom
16563,united kingdom
16701,united kingdom
12842,united kingdom
14302,united kingdom
14135,united kingdom
14831,united kingdom
15602,united kingdom
13777,united kingdom
14000,united kingdom
16823,united kingdom
16163,united kingdom
17193,united kingdom
15759,united kingdom
16131,united kingdom
14560,united kingdom
17087,united kingdom
14894,united kingdom
16202,united kingdom
16700,united kingdom
17511,united kingdom
14299,united kingdom
17949,united kingdom
14799,united kingdom
16550,united kingdom
12980,united kingdom
14425,united kingdom
15353,united kingdom
17818,united kingdom
13654,united kingdom
17189,united kingdom
13269,united kingdom
14653,united kingdom
17019,united kingdom
15542,united kingdom
13564,united kingdom
16467,united kingdom
15833,united kingdom
14527,united kingdom
17476,united kingdom
15287,united kingdom
14440,united kingdom
15680,united kingdom
15581,united kingdom
13740,united kingdom
17768,united kingdom
12948,united kingdom
14667,united kingdom
17377,united kingdom
14467,united kingdom
13457,united kingdom
18108,united kingdom
16210,united kingdom
14669,united kingdom
17909,united kingdom
16086,united kingdom
16711,united kingdom
14739,united kingdom
16233,united kingdom
14204,united kingdom
17606,united kingdom
16797,united kingdom
16126,united kingdom
17867,united kingdom
17412,united kingdom
16525,united kingdom
13623,united kingdom
12435,denmark
14549,united kingdom
14106,united kingdom
14980,united kingdom
14396,united kingdom
14122,united kingdom
16987,united kingdom
17809,united kingdom
15917,united kingdom
14987,united kingdom
14080,united kingdom
16200,united kingdom
15794,united kingdom
15523,united kingdom
15615,united kingdom
18001,united kingdom
17841,united kingdom
13089,united kingdom
15989,united kingdom
17660,united kingdom
13313,united kingdom
12437,france
14841,united kingdom
14646,netherlands
15482,united kingdom
16156,united kingdom
17716,united kingdom
12779,poland
13611,united kingdom
15255,united kingdom
14771,united kingdom
14838,united kingdom
13979,united kingdom
13800,united kingdom
14483,united kingdom
14915,united kingdom
13753,united kingdom
16301,united kingdom
13931,united kingdom
17035,united kingdom
15194,united kingdom
14347,united kingdom
12934,united kingdom
15291,united kingdom
17209,united kingdom
15658,united kingdom
17314,united kingdom
17155,united kingdom
15965,united kingdom
17322,united kingdom
16159,united kingdom
14051,united kingdom
13993,united kingdom
17411,united kingdom
15768,united kingdom
12835,united kingdom
15179,united kingdom
17069,united kingdom
16918,united kingdom
15466,united kingdom
14159,united kingdom
17940,united kingdom
17581,united kingdom
16168,united kingdom
14606,united kingdom
17287,united kingdom
17913,united kingdom
13416,united kingdom
16779,united kingdom
13895,united kingdom
14057,united kingdom
17017,united kingdom
13208,united kingdom
17465,united kingdom
13468,united kingdom
13485,united kingdom
17271,united kingdom
16139,united kingdom
15953,united kingdom
15856,united kingdom
14967,united kingdom
16497,united kingdom
17764,united kingdom
14905,united kingdom
18229,united kingdom
17293,united kingdom
17853,united kingdom
15550,united kingdom
13531,united kingdom
13786,united kingdom
14952,united kingdom
14031,united kingdom
12937,united kingdom
16612,united kingdom
12949,united kingdom
14958,united kingdom
17329,united kingdom
16736,united kingdom
13001,united kingdom
14644,united kingdom
14898,united kingdom
14662,united kingdom
17414,united kingdom
14755,united kingdom
17576,united kingdom
13037,united kingdom
14710,united kingdom
18168,united kingdom
17679,united kingdom
17851,united kingdom
14750,united kingdom
16791,united kingdom
16558,united kingdom
15884,united kingdom
17343,united kingdom
17372,united kingdom
16003,united kingdom
17432,united kingdom
14713,united kingdom
16722,united kingdom
12577,france
12872,united kingdom
15755,united kingdom
14258,united kingdom
14286,united kingdom
13154,united kingdom
14564,channel islands
13408,united kingdom
16645,united kingdom
12714,france
16335,united kingdom
13093,united kingdom
12759,netherlands
13666,united kingdom
17160,united kingdom
13946,united kingdom
14723,united kingdom
14961,united kingdom
14735,united kingdom
18061,united kingdom
15078,united kingdom
17389,united kingdom
16883,united kingdom
13175,united kingdom
17076,united kingdom
13948,united kingdom
18223,united kingdom
16192,united kingdom
15999,united kingdom
15109,united kingdom
14680,united kingdom
18092,united kingdom
16891,united kingdom
13481,united kingdom
13807,united kingdom
14979,united kingdom
16656,united kingdom
16746,united kingdom
17157,united kingdom
15309,united kingdom
16325,united kingdom
16541,united kingdom
16723,united kingdom
16699,united kingdom
16710,united kingdom
12510,spain
13162,united kingdom
15382,united kingdom
13680,united kingdom
12970,united kingdom
17935,united kingdom
17593,united kingdom
17151,united kingdom
16451,united kingdom
17127,united kingdom
13694,united kingdom
14087,united kingdom
13733,united kingdom
18181,united kingdom
13174,united kingdom
13329,united kingdom
17421,united kingdom
16351,united kingdom
15684,united kingdom
17884,united kingdom
15514,united kingdom
13679,united kingdom
18225,united kingdom
12748,united kingdom
13199,united kingdom
13487,united kingdom
17018,united kingdom
18071,united kingdom
16593,united kingdom
14238,united kingdom
15223,united kingdom
13021,united kingdom
17115,united kingdom
17850,united kingdom
14239,united kingdom
13999,united kingdom
13958,united kingdom
13641,united kingdom
15420,united kingdom
12359,cyprus
12820,united kingdom
16410,united kingdom
15240,united kingdom
16158,united kingdom
15484,united kingdom
14709,united kingdom
15057,united kingdom
14867,united kingdom
17642,united kingdom
13813,germany
13589,united kingdom
12417,belgium
17920,united kingdom
12975,united kingdom
16104,united kingdom
17150,united kingdom
16277,united kingdom
17244,united kingdom
15260,united kingdom
12583,france
15555,united kingdom
13736,united kingdom
14133,united kingdom
15571,united kingdom
13448,united kingdom
17085,united kingdom
15059,united kingdom
14468,united kingdom
16395,united kingdom
16485,united kingdom
15878,united kingdom
15860,united kingdom
13373,united kingdom
14608,united kingdom
14896,united kingdom
16964,united kingdom
15983,united kingdom
13782,united kingdom
14454,united kingdom
14717,united kingdom
16718,united kingdom
15751,united kingdom
14546,united kingdom
17848,united kingdom
17561,united kingdom
15547,united kingdom
17406,united kingdom
14479,united kingdom
17969,united kingdom
14548,united kingdom
17916,united kingdom
13319,united kingdom
16773,united kingdom
15479,united kingdom
15822,united kingdom
13890,united kingdom
